DISTRICTE,CODI_ILLA,SECC_CENS,BARRI,NOM_DISTRICTE,NOM_BARRI,AEB,NUM_PARC,NUM_LOCALS,NUM_VIVENDES,NUM_PARKINGS,NUM_ALTRES,SUP_CONS,SUP_SOBRE_RASANT,SUP_SOTA_RASANT,SUP_LOCALS,SUP_SERVEIS,SUP_SOL,DATA_DADES
3,71740,61,16,Sants-Montjuïc,la Bordeta,68,17,331,277,0,46,23143,23037,106,,,6619,01/09/2023 00:06:16
3,71750,62,16,Sants-Montjuïc,la Bordeta,69,47,525,355,9,89,36795,36564,231,,,12514,01/09/2023 00:06:16
3,71761,62,16,Sants-Montjuïc,la Bordeta,69,30,291,172,27,20,20038,19062,976,,,8002,01/09/2023 00:06:16
3,71762,62,16,Sants-Montjuïc,la Bordeta,69,17,289,130,109,29,18375,15990,2385,,,5028,01/09/2023 00:06:16
3,71771,63,16,Sants-Montjuïc,la Bordeta,69,36,345,155,124,34,19322,16609,2713,,,6660,01/09/2023 00:06:16
3,71772,63,16,Sants-Montjuïc,la Bordeta,69,1,0,0,0,0,0,0,0,,,364,01/09/2023 00:06:16
3,71780,63,16,Sants-Montjuïc,la Bordeta,69,16,167,86,19,22,11790,11790,0,,,3372,01/09/2023 00:06:16
3,71790,63,16,Sants-Montjuïc,la Bordeta,69,16,80,47,5,4,5099,4747,352,,,2123,01/09/2023 00:06:16
3,71800,63,16,Sants-Montjuïc,la Bordeta,69,28,195,135,17,31,11730,11258,472,,,3724,01/09/2023 00:06:16
3,71812,69,16,Sants-Montjuïc,la Bordeta,69,3,166,123,0,42,8866,8849,17,,,1608,01/09/2023 00:06:16
3,71813,68,16,Sants-Montjuïc,la Bordeta,69,7,244,188,0,56,15386,15386,0,,,2508,01/09/2023 00:06:16
3,71814,68,16,Sants-Montjuïc,la Bordeta,69,10,518,289,138,84,31502,25860,5642,,,5161,01/09/2023 00:06:16
3,71816,68,16,Sants-Montjuïc,la Bordeta,69,1,203,80,91,32,8280,6771,1509,,,1951,01/09/2023 00:06:16
3,71817,69,16,Sants-Montjuïc,la Bordeta,69,2,388,207,115,66,25235,22732,2503,,,3065,01/09/2023 00:06:16
3,71820,69,16,Sants-Montjuïc,la Bordeta,69,10,493,196,244,49,43319,37417,5902,,,37211,01/09/2023 00:06:16
3,71830,98,18,Sants-Montjuïc,Sants,73,11,148,67,48,28,10625,9747,878,,,3345,01/09/2023 00:06:16
3,71840,98,18,Sants-Montjuïc,Sants,73,26,335,101,138,32,19502,15549,3953,,,5352,01/09/2023 00:06:16
3,71854,98,18,Sants-Montjuïc,Sants,73,3,0,0,0,0,0,0,0,,,10831,01/09/2023 00:06:16
3,71855,100,18,Sants-Montjuïc,Sants,73,39,212,88,1,62,17747,17572,175,,,23218,01/09/2023 00:06:16
3,71860,98,18,Sants-Montjuïc,Sants,73,34,407,227,109,41,23000,21261,1739,,,7292,01/09/2023 00:06:16
3,71870,98,18,Sants-Montjuïc,Sants,73,53,320,161,18,70,21724,21333,391,,,9134,01/09/2023 00:06:16
3,71880,99,18,Sants-Montjuïc,Sants,73,35,273,183,17,34,19840,16920,2920,,,8191,01/09/2023 00:06:16
3,71890,99,18,Sants-Montjuïc,Sants,73,58,458,231,39,91,35508,34101,1407,,,15124,01/09/2023 00:06:16
3,71900,99,18,Sants-Montjuïc,Sants,73,9,47,18,0,6,2986,2986,0,,,1253,01/09/2023 00:06:16
3,71910,100,18,Sants-Montjuïc,Sants,73,42,497,260,86,77,35447,32774,2673,,,10333,01/09/2023 00:06:16
3,71920,99,18,Sants-Montjuïc,Sants,73,5,23,16,0,2,2235,2235,0,,,1044,01/09/2023 00:06:16
3,71930,100,18,Sants-Montjuïc,Sants,73,20,154,104,1,29,10626,10385,241,,,3243,01/09/2023 00:06:16
